"ENG.MECANICA 5","ENMEC0101 - MÉTODOS NUMÉRICOS PARA ENGENHARIA MECÂNICA",2,50,
"ENG.MECANICA 5","ENMEC0104 - INSTALAÇÕES INDUSTRIAIS I",3,50,
"ENG.MECANICA 5","ENMEC0112 - ELEMENTO DE MÁQUINAS I",2,50,
"ENG.MECANICA 5","ENMEC0134 - SELEÇÃO DE MATERIAIS PARA ENGENHARIA MECÂNICA",1,50,
"ENG.MECANICA 6","ENMEC0114 - FALHAS EM EQUIPAMENTOS MECÂNICOS",2,50,
"ENG.MECANICA 6","ENMEC0117 - MECANISMOS E DINÂMICA DAS MÁQUINAS I",2,50,
"ENG.MECANICA 6","ENMEC0141 - MÁQUINAS DE FLUXO",2,50,
"ENG.MECANICA 6","ENMEC0158 - PROCESSOS DE FABRICAÇÃO I",2,50,
"ENG.MECANICA 6","EQUI0100 - FENÔMENOS DO TRANSPORTE II",2,50,
"ENG.MECANICA 7","ENMEC0105 - INSTALAÇÕES INDUSTRIAIS II",2,50,
"ENG.MECANICA 7","ENMEC0133 - PROCESSOS DE FABRICAÇÃO II",2,50,
"ENG.MECANICA 7","ENMEC0140 - MÁQUINAS TÉRMICAS",2,50,
"ENG.QUIMICA 1","MAT0064 - CÁLCULO I",3,50,
"ENG.QUIMICA 2","COMP0100 - INTRODUCAO A CIENCIA DA COMPUTACAO",2,50,
"ENG.QUIMICA 2","ENCIV0105 - DESENHO TÉCNICO",2,50,
"ENG.QUIMICA 2","FISI0149 - FÍSICA A",2,50,
"ENG.QUIMICA 2","FISI0152 - LABORATÓRIO DE FÍSICA A",1,30,
"ENG.QUIMICA 2","MAT0065 - CÁLCULO II",3,50,
"ENG.QUIMICA 3","ESTAT0011 - ESTATISTICA APLICADA",2,50,
"ENG.QUIMICA 4","EQUI0076 - PRINCÍPIOS BÁSICOS DA INDÚSTRIA QUÍMICA",2,50,
"ENG.QUIMICA 4","FISI0151 - FÍSICA C",2,50,
"ENG.QUIMICA 4","FISI0154 - LABORATÓRIO DE FÍSICA C",1,30,
"ENG.QUIMICA 4","MAT0069 - EQUAÇÕES DIFERENCIAIS ORDINÁRIAS",3,50,
"ENG.QUIMICA 6","EQUI0077 - OPERAÇÕES UNITÁRIAS I",2,50,
"ENG.QUIMICA 6","EQUI0081 - TERMODINÂMICA APLICADA",3,50,
"ENG.QUIMICA 6","EQUI0095 - TRANSFERÊNCIA DE CALOR",3,50,
"ENG.QUIMICA 6","EQUI0103 - BIOQUÍMICA INDUSTRIAL",2,50,
"ENG.QUIMICA 6","EQUI0108 - ECOLOGIA E CONTROLE DA POLUIÇÃO",2,50,
"ENG.QUIMICA 6","MAT0096 - CÁLCULO NUMÉRICO I",2,50,
"ENG.QUIMICA 8","EQUI0079 - OPERAÇÕES UNITÁRIAS III",3,50,
"ENG.QUIMICA 8","EQUI0083 - CATÁLISE E REATORES HETEROGÊNEOS",2,50,
"ENG.QUIMICA 8","EQUI0109 - HIGIENE E SEGURANÇA DO TRABALHO",2,50,
"ENG.QUIMICA 8","EQUI0118 - SÍNTESE E ANÁLISE DE PROCESSOS",2,50,
"ENG.QUIMICA 8","EQUI0120 - MODELAGEM E SIMULAÇÃO DE PROCESSOS",2,50,
"QUI.INDUSTRIAL 1","MAT0064 - CÁLCULO I",3,50,
"QUI.INDUSTRIAL 1","MAT0067 - VETORES E GEOMETRIA ANALÍTICA",2,50,
"QUI.INDUSTRIAL 2","COMP0100 - INTRODUCAO A CIENCIA DA COMPUTACAO",2,50,
"QUI.INDUSTRIAL 2","FISI0149 - FÍSICA A",2,50,
"QUI.INDUSTRIAL 2","FISI0152 - LABORATÓRIO DE FÍSICA A",1,30,
"QUI.INDUSTRIAL 2","MAT0065 - CÁLCULO II",3,50,
"QUI.INDUSTRIAL 4","EQUI0076 - PRINCÍPIOS BÁSICOS DA INDÚSTRIA QUÍMICA",2,50,
"QUI.INDUSTRIAL 4","EQUI0081 - TERMODINÂMICA APLICADA",3,50,
"QUI.INDUSTRIAL 4","EQUI0099 - FENÔMENOS DE TRANSPORTE I",2,50,
"QUI.INDUSTRIAL 4","ESTAT0011 - ESTATISTICA APLICADA",2,50,
"QUI.INDUSTRIAL 6","EQUI0088 - OPERAÇÕES DA INDÚSTRIA QUÍMICA II",2,50,
"QUI.INDUSTRIAL 6","EQUI0105 - PROCESSOS BIOTECNOLÓGICOS INDUSTRIAIS",2,50,
"QUI.INDUSTRIAL 6","EQUI0109 - HIGIENE E SEGURANÇA DO TRABALHO",2,50,
"QUI.INDUSTRIAL 6","EQUI0119 - INSTRUMENTAÇÃO E CONTROLE DE PROCESSOS",2,50,
"QUI.INDUSTRIAL 6","EQUI0129 - QUÍMICA INDUSTRIAL ORGÂNICA",2,50,
"QUI.INDUSTRIAL 6","EQUI0130 - QUÍMICA INDUSTRIAL INORGÂNICA",2,50,
"QUI.INDUSTRIAL 6","EQUI0133 - CONTROLE DE QUALIDADE NA INDÚSTRIA QUÍMICA",2,50,
